tx_id,gene_id,gene_name,gene_biotype
YAR030C_mRNA,YAR030C,,protein_coding
YAR031W_mRNA,YAR031W,PRM9,protein_coding
YAR033W_mRNA,YAR033W,MST28,protein_coding
YAR035C-A_mRNA,YAR035C-A,,protein_coding
YAR035W_mRNA,YAR035W,YAT1,protein_coding
YAR042W_mRNA,YAR042W,SWH1,protein_coding
YAR047C_mRNA,YAR047C,,protein_coding
YAR050W_mRNA,YAR050W,FLO1,protein_coding
YAR053W_mRNA,YAR053W,,protein_coding
YAR060C_mRNA,YAR060C,,protein_coding
YAR061W,YAR061W,,pseudogene
YAR064W_mRNA,YAR064W,,protein_coding
YAR066W_mRNA,YAR066W,,protein_coding
YAR068W_mRNA,YAR068W,,protein_coding
YAR069C_mRNA,YAR069C,,protein_coding
YAR070C_mRNA,YAR070C,,protein_coding
YAR071W_mRNA,YAR071W,PHO11,protein_coding
YAR073W_mRNA,YAR073W,IMD1,protein_coding
YAR075W_mRNA,YAR075W,,protein_coding
YBL001C_mRNA,YBL001C,ECM15,protein_coding
YBL002W_mRNA,YBL002W,HTB2,protein_coding
YBL003C_mRNA,YBL003C,HTA2,protein_coding
YBL004W_mRNA,YBL004W,UTP20,protein_coding
YBL005W-A,YBL005W-A,,transposable_element
YBL005W-B,YBL005W-B,,transposable_element
YBL005W_mRNA,YBL005W,PDR3,protein_coding
YBL006C_mRNA,YBL006C,LDB7,protein_coding
YBL006W-A_mRNA,YBL006W-A,,protein_coding
YBL007C_mRNA,YBL007C,SLA1,protein_coding
YBL008W-A_mRNA,YBL008W-A,,protein_coding
YBL008W_mRNA,YBL008W,HIR1,protein_coding
YBL009W_mRNA,YBL009W,ALK2,protein_coding
YBL010C_mRNA,YBL010C,,protein_coding
YBL011W_mRNA,YBL011W,SCT1,protein_coding
YBL012C_mRNA,YBL012C,,protein_coding
YBL013W_mRNA,YBL013W,FMT1,protein_coding
YBL014C_mRNA,YBL014C,RRN6,protein_coding
YBL015W_mRNA,YBL015W,ACH1,protein_coding
YBL016W_mRNA,YBL016W,FUS3,protein_coding
YBL017C_mRNA,YBL017C,PEP1,protein_coding
YBL018C_mRNA,YBL018C,POP8,protein_coding
YBL019W_mRNA,YBL019W,APN2,protein_coding
YBL020W_mRNA,YBL020W,RFT1,protein_coding
YBL021C_mRNA,YBL021C,HAP3,protein_coding
YBL022C_mRNA,YBL022C,PIM1,protein_coding
YBL023C_mRNA,YBL023C,MCM2,protein_coding
YBL024W_mRNA,YBL024W,NCL1,protein_coding
YBL025W_mRNA,YBL025W,RRN10,protein_coding
YBL026W_mRNA,YBL026W,LSM2,protein_coding
YBL027W_mRNA,YBL027W,RPL19B,protein_coding
YBL028C_mRNA,YBL028C,,protein_coding
YBL029C-A_mRNA,YBL029C-A,,protein_coding
YBL029W_mRNA,YBL029W,,protein_coding
YBL030C_mRNA,YBL030C,PET9,protein_coding
YBL031W_mRNA,YBL031W,SHE1,protein_coding
YBL032W_mRNA,YBL032W,HEK2,protein_coding
YBL033C_mRNA,YBL033C,RIB1,protein_coding
YBL034C_mRNA,YBL034C,STU1,protein_coding
YBL035C_mRNA,YBL035C,POL12,protein_coding
YBL036C_mRNA,YBL036C,,protein_coding
YBL037W_mRNA,YBL037W,APL3,protein_coding
YBL038W_mRNA,YBL038W,MRPL16,protein_coding
YBL039C-A_mRNA,YBL039C-A,,protein_coding
YBL039C_mRNA,YBL039C,URA7,protein_coding
YBL039W-B_mRNA,YBL039W-B,,protein_coding
YBL040C_mRNA,YBL040C,ERD2,protein_coding
YBL041W_mRNA,YBL041W,PRE7,protein_coding
YBL042C_mRNA,YBL042C,FUI1,protein_coding
YBL043W_mRNA,YBL043W,ECM13,protein_coding
YBL044W_mRNA,YBL044W,,protein_coding
YBL045C_mRNA,YBL045C,COR1,protein_coding
YBL046W_mRNA,YBL046W,PSY4,protein_coding
YBL047C_mRNA,YBL047C,EDE1,protein_coding
YBL048W_mRNA,YBL048W,RRT1,protein_coding
YBL049W_mRNA,YBL049W,MOH1,protein_coding
YBL050W_mRNA,YBL050W,SEC17,protein_coding
YBL051C_mRNA,YBL051C,PIN4,protein_coding
YBL052C_mRNA,YBL052C,SAS3,protein_coding
YBL053W_mRNA,YBL053W,,protein_coding
YBL054W_mRNA,YBL054W,TOD6,protein_coding
YBL055C_mRNA,YBL055C,,protein_coding
YBL056W_mRNA,YBL056W,PTC3,protein_coding
YBL057C_mRNA,YBL057C,PTH2,protein_coding
YBL058W_mRNA,YBL058W,SHP1,protein_coding
YBL059C-A_mRNA,YBL059C-A,CMC2,protein_coding
YBL059W_mRNA,YBL059W,,protein_coding
YBL060W_mRNA,YBL060W,YEL1,protein_coding
YBL061C_mRNA,YBL061C,SKT5,protein_coding
YBL062W_mRNA,YBL062W,,protein_coding
YBL063W_mRNA,YBL063W,KIP1,protein_coding
YBL064C_mRNA,YBL064C,PRX1,protein_coding
YBL065W_mRNA,YBL065W,,protein_coding
YBL066C_mRNA,YBL066C,SEF1,protein_coding
YBL067C_mRNA,YBL067C,UBP13,protein_coding
YBL068W-A_mRNA,YBL068W-A,,protein_coding
YBL068W_mRNA,YBL068W,PRS4,protein_coding
YBL069W_mRNA,YBL069W,AST1,protein_coding
YBL070C_mRNA,YBL070C,,protein_coding
YBL071C-B_mRNA,YBL071C-B,,protein_coding
YBL071C_mRNA,YBL071C,,protein_coding
YBL071W-A_mRNA,YBL071W-A,KTI11,protein_coding
YBL072C_mRNA,YBL072C,RPS8A,protein_coding
YBL073W_mRNA,YBL073W,,protein_coding
YBL074C_mRNA,YBL074C,AAR2,protein_coding
YBL075C_mRNA,YBL075C,SSA3,protein_coding
YBL076C_mRNA,YBL076C,ILS1,protein_coding
YBL077W_mRNA,YBL077W,,protein_coding
YBL078C_mRNA,YBL078C,ATG8,protein_coding
YBL079W_mRNA,YBL079W,NUP170,protein_coding
YBL080C_mRNA,YBL080C,PET112,protein_coding
YBL081W_mRNA,YBL081W,,protein_coding
YBL082C_mRNA,YBL082C,ALG3,protein_coding
YBL083C_mRNA,YBL083C,,protein_coding
YBL084C_mRNA,YBL084C,CDC27,protein_coding
YBL085W_mRNA,YBL085W,BOI1,protein_coding
YBL086C_mRNA,YBL086C,,protein_coding
YBL087C_mRNA,YBL087C,RPL23A,protein_coding
YBL088C_mRNA,YBL088C,TEL1,protein_coding
YBL089W_mRNA,YBL089W,AVT5,protein_coding
YBL090W_mRNA,YBL090W,MRP21,protein_coding
YBL091C-A_mRNA,YBL091C-A,SCS22,protein_coding
YBL091C_mRNA,YBL091C,MAP2,protein_coding
YBL092W_mRNA,YBL092W,RPL32,protein_coding
YBL093C_mRNA,YBL093C,ROX3,protein_coding
YBL094C_mRNA,YBL094C,,protein_coding
YBL095W_mRNA,YBL095W,MRX3,protein_coding
YBL096C_mRNA,YBL096C,,protein_coding
YBL097W_mRNA,YBL097W,BRN1,protein_coding
YBL098W_mRNA,YBL098W,BNA4,protein_coding
YBL099W_mRNA,YBL099W,ATP1,protein_coding
YBL100C_mRNA,YBL100C,,protein_coding
YBL100W-A,YBL100W-A,,transposable_element
YBL100W-B,YBL100W-B,,transposable_element
YBL100W-C_mRNA,YBL100W-C,,protein_coding
YBL101C_mRNA,YBL101C,ECM21,protein_coding
YBL102W_mRNA,YBL102W,SFT2,protein_coding
YBL103C_mRNA,YBL103C,RTG3,protein_coding
YBL104C_mRNA,YBL104C,SEA4,protein_coding
YBL105C_mRNA,YBL105C,PKC1,protein_coding
YBL106C_mRNA,YBL106C,SRO77,protein_coding
YBL107C_mRNA,YBL107C,MIX23,protein_coding
YBL107W-A_mRNA,YBL107W-A,,protein_coding
YBL108C-A_mRNA,YBL108C-A,PAU9,protein_coding
YBL108W_mRNA,YBL108W,,protein_coding
YBL109W_mRNA,YBL109W,,protein_coding
YBL111C_mRNA,YBL111C,,protein_coding
YBL112C_mRNA,YBL112C,,protein_coding
YBL113C_mRNA,YBL113C,,protein_coding
YBL113W-A_mRNA,YBL113W-A,,protein_coding
YBR001C_mRNA,YBR001C,NTH2,protein_coding
YBR002C_mRNA,YBR002C,RER2,protein_coding
YBR003W_mRNA,YBR003W,COQ1,protein_coding
YBR004C_mRNA,YBR004C,GPI18,protein_coding
YBR005W_mRNA,YBR005W,RCR1,protein_coding
YBR006W_mRNA,YBR006W,UGA2,protein_coding
YBR007C_mRNA,YBR007C,DSF2,protein_coding
YBR008C_mRNA,YBR008C,FLR1,protein_coding
YBR009C_mRNA,YBR009C,HHF1,protein_coding
YBR010W_mRNA,YBR010W,HHT1,protein_coding
YBR011C_mRNA,YBR011C,IPP1,protein_coding
YBR012C_mRNA,YBR012C,,protein_coding
YBR012W-A,YBR012W-A,,transposable_element
YBR012W-B,YBR012W-B,,transposable_element
YBR013C_mRNA,YBR013C,,protein_coding
YBR014C_mRNA,YBR014C,GRX7,protein_coding
YBR015C_mRNA,YBR015C,MNN2,protein_coding
YBR016W_mRNA,YBR016W,,protein_coding
YBR017C_mRNA,YBR017C,KAP104,protein_coding
YBR018C_mRNA,YBR018C,GAL7,protein_coding
YBR019C_mRNA,YBR019C,GAL10,protein_coding
YBR020W_mRNA,YBR020W,GAL1,protein_coding
YBR021W_mRNA,YBR021W,FUR4,protein_coding
YBR022W_mRNA,YBR022W,POA1,protein_coding
YBR023C_mRNA,YBR023C,CHS3,protein_coding
YBR024W_mRNA,YBR024W,SCO2,protein_coding
YBR025C_mRNA,YBR025C,OLA1,protein_coding
YBR026C_mRNA,YBR026C,ETR1,protein_coding
YBR027C_mRNA,YBR027C,,protein_coding
YBR028C_mRNA,YBR028C,YPK3,protein_coding
YBR029C_mRNA,YBR029C,CDS1,protein_coding
YBR030W_mRNA,YBR030W,RKM3,protein_coding
YBR031W_mRNA,YBR031W,RPL4A,protein_coding
YBR032W_mRNA,YBR032W,,protein_coding
YBR033W_mRNA,YBR033W,EDS1,protein_coding
YBR034C_mRNA,YBR034C,HMT1,protein_coding
