tx_id,gene_id,gene_name,gene_biotype
FBtr0083221,FBgn0003117,pnr,protein_coding
FBtr0335426,FBgn0003117,pnr,protein_coding
FBtr0075437,FBgn0036560,CG5895,protein_coding
FBtr0333614,FBgn0036560,CG5895,protein_coding
FBtr0075499,FBgn0260635,Diap1,protein_coding
FBtr0333617,FBgn0260635,Diap1,protein_coding
FBtr0333619,FBgn0260635,Diap1,protein_coding
FBtr0075501,FBgn0260635,Diap1,protein_coding
FBtr0333618,FBgn0260635,Diap1,protein_coding
FBtr0075500,FBgn0260635,Diap1,protein_coding
FBtr0080803,FBgn0000182,BicC,protein_coding
FBtr0344489,FBgn0266459,CG45084,protein_coding
FBtr0346930,FBgn0267549,asRNA:CR45889,ncRNA
FBtr0080804,FBgn0000182,BicC,protein_coding
FBtr0344488,FBgn0266459,CG45084,protein_coding
FBtr0083222,FBgn0038394,CG10264,protein_coding
FBtr0080805,FBgn0000182,BicC,protein_coding
FBtr0347558,FBgn0038395,CG10407,protein_coding
FBtr0083237,FBgn0038395,CG10407,protein_coding
FBtr0336487,FBgn0038395,CG10407,protein_coding
FBtr0304804,FBgn0024222,IKKbeta,protein_coding
FBtr0087210,FBgn0034071,CG8405,protein_coding
FBtr0340020,FBgn0034071,CG8405,protein_coding
FBtr0345240,FBgn0266739,lncRNA:CR45212,ncRNA
FBtr0333615,FBgn0264602,lncRNA:CR43951,ncRNA
FBtr0083223,FBgn0038396,CG5013,protein_coding
FBtr0080806,FBgn0013433,beat-Ia,protein_coding
FBtr0343728,FBgn0013433,beat-Ia,protein_coding
FBtr0304801,FBgn0027948,msps,protein_coding
FBtr0301479,FBgn0027948,msps,protein_coding
FBtr0304802,FBgn0027948,msps,protein_coding
FBtr0301480,FBgn0027948,msps,protein_coding
FBtr0304803,FBgn0027948,msps,protein_coding
FBtr0301575,FBgn0005536,Mbs,protein_coding
FBtr0112852,FBgn0005536,Mbs,protein_coding
FBtr0301473,FBgn0005536,Mbs,protein_coding
FBtr0301472,FBgn0005536,Mbs,protein_coding
FBtr0112851,FBgn0005536,Mbs,protein_coding
FBtr0308215,FBgn0005536,Mbs,protein_coding
FBtr0308213,FBgn0005536,Mbs,protein_coding
FBtr0333616,FBgn0005536,Mbs,protein_coding
FBtr0475270,FBgn0005536,Mbs,protein_coding
FBtr0308216,FBgn0005536,Mbs,protein_coding
FBtr0308214,FBgn0005536,Mbs,protein_coding
FBtr0308212,FBgn0005536,Mbs,protein_coding
FBtr0083235,FBgn0038397,CG10185,protein_coding
FBtr0074260,FBgn0030722,CG12395,protein_coding
FBtr0074206,FBgn0030723,dpr18,protein_coding
FBtr0304456,FBgn0262446,mir-137,pre_miRNA
FBtr0083231,FBgn0026059,Mhcl,protein_coding
FBtr0083229,FBgn0026059,Mhcl,protein_coding
FBtr0083233,FBgn0026059,Mhcl,protein_coding
FBtr0332439,FBgn0026059,Mhcl,protein_coding
FBtr0083232,FBgn0026059,Mhcl,protein_coding
FBtr0110973,FBgn0026059,Mhcl,protein_coding
FBtr0110974,FBgn0026059,Mhcl,protein_coding
