tx_id,gene_id,gene_name,gene_biotype
ENSXETT00000000848,ENSXETG00000041506,,protein_coding
ENSXETT00000000876,ENSXETG00000000409,XB956263 [provisional:mapk12],protein_coding
ENSXETT00000000897,ENSXETG00000000421,smpd2,protein_coding
ENSXETT00000000899,ENSXETG00000000422,TULP1,protein_coding
ENSXETT00000000907,ENSXETG00000000426,SRPK1,protein_coding
ENSXETT00000000931,ENSXETG00000000439,zc3h11a,protein_coding
ENSXETT00000000938,ENSXETG00000000442,OPTC,protein_coding
ENSXETT00000000941,ENSXETG00000000446,TENT4B,protein_coding
ENSXETT00000000947,ENSXETG00000000448,ERBIN,protein_coding
ENSXETT00000000953,ENSXETG00000000451,NLN,protein_coding
ENSXETT00000000957,ENSXETG00000000452,SGTB,protein_coding
ENSXETT00000000958,ENSXETG00000000453,TRAPPC13,protein_coding
ENSXETT00000000965,ENSXETG00000000454,PPWD1,protein_coding
ENSXETT00000000966,ENSXETG00000000455,TRIM23,protein_coding
ENSXETT00000000969,ENSXETG00000000456,CENPK,protein_coding
ENSXETT00000000971,ENSXETG00000000457,ADAMTS6,protein_coding
ENSXETT00000000978,ENSXETG00000000459,CWC27,protein_coding
ENSXETT00000000985,ENSXETG00000000462,SHISAL2B,protein_coding
ENSXETT00000000986,ENSXETG00000000463,RGS7BP,protein_coding
ENSXETT00000000989,ENSXETG00000000465,SMARCAL1,protein_coding
ENSXETT00000000998,ENSXETG00000032580,XRCC5,protein_coding
ENSXETT00000001000,ENSXETG00000000470,MARCHF4,protein_coding
ENSXETT00000001005,ENSXETG00000000471,map3k2,protein_coding
ENSXETT00000001006,ENSXETG00000046584,bin1,protein_coding
ENSXETT00000001010,ENSXETG00000000472,SLC30A5,protein_coding
ENSXETT00000001012,ENSXETG00000000477,ccnb1,protein_coding
ENSXETT00000001016,ENSXETG00000019336,ZRANB3,protein_coding
ENSXETT00000001025,ENSXETG00000000481,cdk7,protein_coding
ENSXETT00000001031,ENSXETG00000000480,RAB3GAP1,protein_coding
ENSXETT00000001033,ENSXETG00000000487,SH3GLB1,protein_coding
ENSXETT00000001042,ENSXETG00000000483,or52d1,protein_coding
ENSXETT00000001072,ENSXETG00000005223,PBX2,protein_coding
ENSXETT00000001073,ENSXETG00000000502,PBX3,protein_coding
ENSXETT00000001083,ENSXETG00000000504,ACMSD,protein_coding
ENSXETT00000001084,ENSXETG00000000500,THBS4,protein_coding
ENSXETT00000001089,ENSXETG00000000510,MTX3,protein_coding
ENSXETT00000001090,ENSXETG00000030246,clca4.1,protein_coding
ENSXETT00000001094,ENSXETG00000046541,tuba1cl.3,protein_coding
ENSXETT00000001100,ENSXETG00000030246,clca4.1,protein_coding
ENSXETT00000001105,ENSXETG00000000514,mgat5,protein_coding
ENSXETT00000001109,ENSXETG00000000517,TNFRSF11A,protein_coding
ENSXETT00000001114,ENSXETG00000000518,TENT2,protein_coding
ENSXETT00000001115,ENSXETG00000000516,KLHL20,protein_coding
ENSXETT00000001118,ENSXETG00000000519,HOMER1,protein_coding
ENSXETT00000001126,ENSXETG00000000520,JMY,protein_coding
ENSXETT00000001132,ENSXETG00000000524,ANKRD45,protein_coding
ENSXETT00000001133,ENSXETG00000000523,bhmt,protein_coding
ENSXETT00000001134,ENSXETG00000000525,PRDX6,protein_coding
ENSXETT00000001136,ENSXETG00000000526,ctdspl,protein_coding
ENSXETT00000001147,ENSXETG00000000531,SUCO,protein_coding
ENSXETT00000001154,ENSXETG00000000532,KDM4C,protein_coding
ENSXETT00000001158,ENSXETG00000045303,ARSB,protein_coding
ENSXETT00000001173,ENSXETG00000000538,DNM3,protein_coding
ENSXETT00000001179,ENSXETG00000009360,DNM2,protein_coding
ENSXETT00000001184,ENSXETG00000000548,SUCLA2,protein_coding
ENSXETT00000001186,ENSXETG00000000549,MED4,protein_coding
ENSXETT00000001188,ENSXETG00000000547,SCAMP1,protein_coding
ENSXETT00000001195,ENSXETG00000010662,AP3B2,protein_coding
ENSXETT00000001210,ENSXETG00000027168,fam124a,protein_coding
ENSXETT00000001218,ENSXETG00000000557,LPAR6,protein_coding
ENSXETT00000001225,ENSXETG00000013255,DPH5,protein_coding
ENSXETT00000001227,ENSXETG00000000564,CFAP20DC,protein_coding
ENSXETT00000001251,ENSXETG00000000559,RCBTB2,protein_coding
ENSXETT00000001252,ENSXETG00000009265,,protein_coding
ENSXETT00000001255,ENSXETG00000000567,UHRF2,protein_coding
ENSXETT00000001257,ENSXETG00000000574,BRD10,protein_coding
ENSXETT00000001261,ENSXETG00000000572,ACVR1B,protein_coding
ENSXETT00000001265,ENSXETG00000000577,ERMP1,protein_coding
ENSXETT00000001266,ENSXETG00000000579,NR4A1,protein_coding
ENSXETT00000001271,ENSXETG00000000580,PRPF40B,protein_coding
ENSXETT00000001282,ENSXETG00000000582,RIC1,protein_coding
ENSXETT00000001294,ENSXETG00000000586,JAK2,protein_coding
ENSXETT00000001298,ENSXETG00000000587,PLGRKT,protein_coding
ENSXETT00000001303,ENSXETG00000000588,AK3,protein_coding
ENSXETT00000001310,ENSXETG00000000593,PCOLCE2,protein_coding
ENSXETT00000001311,ENSXETG00000000595,CDC37L1,protein_coding
ENSXETT00000001313,ENSXETG00000000594,FOXC1,protein_coding
ENSXETT00000001321,ENSXETG00000000600,GMDS,protein_coding
ENSXETT00000001331,ENSXETG00000000598,PLS1,protein_coding
ENSXETT00000001334,ENSXETG00000000614,MYLK4,protein_coding
ENSXETT00000001335,ENSXETG00000000607,RASGEF1A,protein_coding
ENSXETT00000001339,ENSXETG00000000615,CSGALNACT2,protein_coding
ENSXETT00000001341,ENSXETG00000046350,ATR,protein_coding
ENSXETT00000001370,ENSXETG00000049403,,protein_coding
ENSXETT00000001375,ENSXETG00000045640,,protein_coding
ENSXETT00000001376,ENSXETG00000027588,serpinb6,protein_coding
ENSXETT00000001387,ENSXETG00000000629,WDR1,protein_coding
ENSXETT00000001395,ENSXETG00000043611,,protein_coding
ENSXETT00000001399,ENSXETG00000027588,serpinb6,protein_coding
ENSXETT00000001401,ENSXETG00000000635,atp13a1,protein_coding
ENSXETT00000001409,ENSXETG00000000637,XB5872372 [provisional],protein_coding
ENSXETT00000001412,ENSXETG00000000638,VPS4B,protein_coding
ENSXETT00000001419,ENSXETG00000000641,lmx1b.2,protein_coding
ENSXETT00000001423,ENSXETG00000000644,clec4e,protein_coding
ENSXETT00000001424,ENSXETG00000000645,fbxl12,protein_coding
ENSXETT00000001425,ENSXETG00000000646,clec4m,protein_coding
ENSXETT00000001450,ENSXETG00000000659,EFHC1,protein_coding
ENSXETT00000001452,ENSXETG00000000664,tmem220,protein_coding
ENSXETT00000001456,ENSXETG00000044336,TRAM2,protein_coding
ENSXETT00000001461,ENSXETG00000000667,dab2ip,protein_coding
ENSXETT00000001470,ENSXETG00000000671,CTSB,protein_coding
ENSXETT00000001472,ENSXETG00000000673,GATA4,protein_coding
ENSXETT00000001480,ENSXETG00000000679,FGL1,protein_coding
ENSXETT00000001489,ENSXETG00000000681,MTUS1,protein_coding
ENSXETT00000001490,ENSXETG00000000681,MTUS1,protein_coding
ENSXETT00000001497,ENSXETG00000000682,tdh,protein_coding
ENSXETT00000001504,ENSXETG00000000685,MTMR9,protein_coding
ENSXETT00000001508,ENSXETG00000000683,SLC7A2,protein_coding
ENSXETT00000001509,ENSXETG00000000686,XKR6,protein_coding
ENSXETT00000001516,ENSXETG00000000689,PDGFRL,protein_coding
ENSXETT00000001517,ENSXETG00000000688,pinx1,protein_coding
ENSXETT00000001520,ENSXETG00000000690,MTMR7,protein_coding
ENSXETT00000001525,ENSXETG00000010540,DMTN,protein_coding
ENSXETT00000001530,ENSXETG00000000693,SOX7,protein_coding
ENSXETT00000001532,ENSXETG00000000694,ZDHHC2,protein_coding
ENSXETT00000001536,ENSXETG00000000696,RAI14,protein_coding
ENSXETT00000001541,ENSXETG00000026438,SOX17,protein_coding
ENSXETT00000001544,ENSXETG00000000697,VPS37A,protein_coding
ENSXETT00000001552,ENSXETG00000000702,TTC23L,protein_coding
ENSXETT00000001561,ENSXETG00000000703,brix1,protein_coding
ENSXETT00000001564,ENSXETG00000000701,CNOT7,protein_coding
ENSXETT00000001565,ENSXETG00000000705,RAD1,protein_coding
ENSXETT00000001566,ENSXETG00000002408,tmem183a,protein_coding
ENSXETT00000001569,ENSXETG00000000706,DNAJC21,protein_coding
ENSXETT00000001581,ENSXETG00000000709,PRLR,protein_coding
ENSXETT00000001600,ENSXETG00000000715,HOXA1,protein_coding
ENSXETT00000001601,ENSXETG00000000716,hoxa2,protein_coding
ENSXETT00000001602,ENSXETG00000000717,HOXA3,protein_coding
ENSXETT00000001606,ENSXETG00000000722,HOXA7,protein_coding
