tx_id,gene_id,gene_name,gene_biotype
ENSDART00000003221,ENSDARG00000015221,NSRP1,protein_coding
ENSDART00000003242,ENSDARG00000008948,pla2g3,protein_coding
ENSDART00000003248,ENSDARG00000005619,NEK2,protein_coding
ENSDART00000003252,ENSDARG00000016415,DHTKD1,protein_coding
ENSDART00000003273,ENSDARG00000016710,RCHY1,protein_coding
ENSDART00000003278,ENSDARG00000003054,TACR3,protein_coding
ENSDART00000003296,ENSDARG00000008237,SARS1,protein_coding
ENSDART00000003299,ENSDARG00000025174,zgc:103482,protein_coding
ENSDART00000003303,ENSDARG00000019438,RNF13,protein_coding
ENSDART00000003310,ENSDARG00000008540,SOX21,protein_coding
ENSDART00000003314,ENSDARG00000002403,NUSAP1,protein_coding
ENSDART00000003317,ENSDARG00000016304,TFDP1,protein_coding
ENSDART00000003325,ENSDARG00000030250,dennd2db,protein_coding
ENSDART00000003335,ENSDARG00000019060,SNX12,protein_coding
ENSDART00000003338,ENSDARG00000037838,UNKL,protein_coding
ENSDART00000003339,ENSDARG00000074081,dnai2b,protein_coding
ENSDART00000003345,ENSDARG00000006683,arhgef6,protein_coding
ENSDART00000003346,ENSDARG00000002754,pdcd2l,protein_coding
ENSDART00000003418,ENSDARG00000006235,brms1la,protein_coding
ENSDART00000003420,ENSDARG00000001912,drd4-rs,protein_coding
ENSDART00000003422,ENSDARG00000019004,SMARCD1,protein_coding
ENSDART00000003428,ENSDARG00000015524,PRPS1L1,protein_coding
ENSDART00000003435,ENSDARG00000009806,REXO2,protein_coding
ENSDART00000003463,ENSDARG00000075827,F7,protein_coding
ENSDART00000003465,ENSDARG00000009488,gipc2,protein_coding
ENSDART00000003475,ENSDARG00000020191,PPEF1,protein_coding
ENSDART00000003482,ENSDARG00000014348,stk17b,protein_coding
ENSDART00000003493,ENSDARG00000001621,NFYA,protein_coding
ENSDART00000003494,ENSDARG00000001127,SLC17A6,protein_coding
ENSDART00000003495,ENSDARG00000113944,,protein_coding
ENSDART00000003497,ENSDARG00000016263,ZDHHC5,protein_coding
ENSDART00000003503,ENSDARG00000026165,COL11A1,protein_coding
ENSDART00000003508,ENSDARG00000005616,bfb,protein_coding
ENSDART00000003511,ENSDARG00000009693,llgl1,protein_coding
ENSDART00000003514,ENSDARG00000011929,plp1b,protein_coding
ENSDART00000003517,ENSDARG00000008480,TRMT61A,protein_coding
ENSDART00000003518,ENSDARG00000010047,NEU3,protein_coding
ENSDART00000003543,ENSDARG00000024112,GMPPA,protein_coding
ENSDART00000003544,ENSDARG00000007943,gabpb2a,protein_coding
ENSDART00000003548,ENSDARG00000009899,ZNF385A,protein_coding
